study,trial,seed,unknown_byte_count,unknown_bytes,unknown_bits,plaintext,key,ciphertext,status,satisfiable,correct,candidate_valid,recovered_key,build_time,solve_time,total_time,timeout_seconds,variables,clauses,error
single,5,2026092205,1,1,8,0ACF2B1DF582EA98A288A2C05B27DB70,27DC64965E2FF5723B463E9974CF1B24,9F277BA342E5A31F7B5AC43482DCB95D,SAT,True,True,True,27DC64965E2FF5723B463E9974CF1B24,0.45278270800008613,5.463258416000826,5.9177693750007165,60,20736,343416,
single,5,2026092205,1,2,8,0ACF2B1DF582EA98A288A2C05B27DB70,27DC64965E2FF5723B463E9974CF1B24,9F277BA342E5A31F7B5AC43482DCB95D,SAT,True,True,True,27DC64965E2FF5723B463E9974CF1B24,0.46513483299895597,7.153503333000117,7.620374666999851,60,20736,343416,
single,5,2026092205,1,3,8,0ACF2B1DF582EA98A288A2C05B27DB70,27DC64965E2FF5723B463E9974CF1B24,9F277BA342E5A31F7B5AC43482DCB95D,SAT,True,True,True,27DC64965E2FF5723B463E9974CF1B24,0.4570153330005269,4.796878291999747,5.255715125000279,60,20736,343416,
single,5,2026092205,1,4,8,0ACF2B1DF582EA98A288A2C05B27DB70,27DC64965E2FF5723B463E9974CF1B24,9F277BA342E5A31F7B5AC43482DCB95D,SAT,True,True,True,27DC64965E2FF5723B463E9974CF1B24,0.46238220800114505,5.866275709000547,6.330383582999275,60,20736,343416,
single,5,2026092205,1,5,8,0ACF2B1DF582EA98A288A2C05B27DB70,27DC64965E2FF5723B463E9974CF1B24,9F277BA342E5A31F7B5AC43482DCB95D,SAT,True,True,True,27DC64965E2FF5723B463E9974CF1B24,0.4536427080001886,5.2636003749994416,5.7189608339995175,60,20736,343416,
single,5,2026092205,1,6,8,0ACF2B1DF582EA98A288A2C05B27DB70,27DC64965E2FF5723B463E9974CF1B24,9F277BA342E5A31F7B5AC43482DCB95D,SAT,True,True,True,27DC64965E2FF5723B463E9974CF1B24,0.45150270799967984,4.3365343330006,4.789828790999309,60,20736,343416,
single,5,2026092205,1,7,8,0ACF2B1DF582EA98A288A2C05B27DB70,27DC64965E2FF5723B463E9974CF1B24,9F277BA342E5A31F7B5AC43482DCB95D,SAT,True,True,True,27DC64965E2FF5723B463E9974CF1B24,0.46019008300027053,5.145536291000099,5.60749691700039,60,20736,343416,
single,5,2026092205,1,8,8,0ACF2B1DF582EA98A288A2C05B27DB70,27DC64965E2FF5723B463E9974CF1B24,9F277BA342E5A31F7B5AC43482DCB95D,SAT,True,True,True,27DC64965E2FF5723B463E9974CF1B24,0.45831587499924353,6.180845333999969,6.640916708998702,60,20736,343416,
single,5,2026092205,1,9,8,0ACF2B1DF582EA98A288A2C05B27DB70,27DC64965E2FF5723B463E9974CF1B24,9F277BA342E5A31F7B5AC43482DCB95D,SAT,True,True,True,27DC64965E2FF5723B463E9974CF1B24,0.4614033749985538,5.2580401670002175,5.721152125001026,60,20736,343416,
single,5,2026092205,1,10,8,0ACF2B1DF582EA98A288A2C05B27DB70,27DC64965E2FF5723B463E9974CF1B24,9F277BA342E5A31F7B5AC43482DCB95D,SAT,True,True,True,27DC64965E2FF5723B463E9974CF1B24,0.45629987500069547,5.358283666000716,5.816338667000309,60,20736,343416,
single,5,2026092205,1,11,8,0ACF2B1DF582EA98A288A2C05B27DB70,27DC64965E2FF5723B463E9974CF1B24,9F277BA342E5A31F7B5AC43482DCB95D,SAT,True,True,True,27DC64965E2FF5723B463E9974CF1B24,0.4725898340002459,4.050938999998834,4.525288000000728,60,20736,343416,
single,5,2026092205,1,12,8,0ACF2B1DF582EA98A288A2C05B27DB70,27DC64965E2FF5723B463E9974CF1B24,9F277BA342E5A31F7B5AC43482DCB95D,SAT,True,True,True,27DC64965E2FF5723B463E9974CF1B24,0.4667646670004615,5.6721410829995875,6.140731875000711,60,20736,343416,
single,5,2026092205,1,13,8,0ACF2B1DF582EA98A288A2C05B27DB70,27DC64965E2FF5723B463E9974CF1B24,9F277BA342E5A31F7B5AC43482DCB95D,SAT,True,True,True,27DC64965E2FF5723B463E9974CF1B24,0.46103233299982094,6.812112374998833,7.274905917000069,60,20736,343416,
single,5,2026092205,1,14,8,0ACF2B1DF582EA98A288A2C05B27DB70,27DC64965E2FF5723B463E9974CF1B24,9F277BA342E5A31F7B5AC43482DCB95D,SAT,True,True,True,27DC64965E2FF5723B463E9974CF1B24,0.46117320800112793,6.432906084000933,6.89583841700005,60,20736,343416,
single,5,2026092205,1,15,8,0ACF2B1DF582EA98A288A2C05B27DB70,27DC64965E2FF5723B463E9974CF1B24,9F277BA342E5A31F7B5AC43482DCB95D,SAT,True,True,True,27DC64965E2FF5723B463E9974CF1B24,0.45770495800024946,5.563992499999586,6.023542000000816,60,20736,343416,
single,6,2026092206,1,0,8,EAB7D104BB4DC3B31124B652A22F4BC7,B186D2D17C35178BD5C6E9E0A1E002EC,B27D718AC8F2F13E2F3D98497365D2C3,SAT,True,True,True,B186D2D17C35178BD5C6E9E0A1E002EC,0.4591544579998299,5.342464249999466,5.803439833000084,60,20736,343416,
single,6,2026092206,1,1,8,EAB7D104BB4DC3B31124B652A22F4BC7,B186D2D17C35178BD5C6E9E0A1E002EC,B27D718AC8F2F13E2F3D98497365D2C3,SAT,True,True,True,B186D2D17C35178BD5C6E9E0A1E002EC,0.4582658340004855,5.301121459000569,5.761217375000342,60,20736,343416,
single,6,2026092206,1,2,8,EAB7D104BB4DC3B31124B652A22F4BC7,B186D2D17C35178BD5C6E9E0A1E002EC,B27D718AC8F2F13E2F3D98497365D2C3,SAT,True,True,True,B186D2D17C35178BD5C6E9E0A1E002EC,0.4674708329985151,5.166924499999368,5.636150832999192,60,20736,343416,
single,6,2026092206,1,3,8,EAB7D104BB4DC3B31124B652A22F4BC7,B186D2D17C35178BD5C6E9E0A1E002EC,B27D718AC8F2F13E2F3D98497365D2C3,SAT,True,True,True,B186D2D17C35178BD5C6E9E0A1E002EC,0.45720520799841324,4.923041291000118,5.382074332999764,60,20736,343416,
single,6,2026092206,1,4,8,EAB7D104BB4DC3B31124B652A22F4BC7,B186D2D17C35178BD5C6E9E0A1E002EC,B27D718AC8F2F13E2F3D98497365D2C3,SAT,True,True,True,B186D2D17C35178BD5C6E9E0A1E002EC,0.47834462500031805,5.869430582999485,6.349533999999039,60,20736,343416,
single,6,2026092206,1,5,8,EAB7D104BB4DC3B31124B652A22F4BC7,B186D2D17C35178BD5C6E9E0A1E002EC,B27D718AC8F2F13E2F3D98497365D2C3,SAT,True,True,True,B186D2D17C35178BD5C6E9E0A1E002EC,0.4580086249989108,5.086127583999769,5.545887333999417,60,20736,343416,
single,6,2026092206,1,6,8,EAB7D104BB4DC3B31124B652A22F4BC7,B186D2D17C35178BD5C6E9E0A1E002EC,B27D718AC8F2F13E2F3D98497365D2C3,SAT,True,True,True,B186D2D17C35178BD5C6E9E0A1E002EC,0.46033587500096473,5.507923458000732,5.9700271250003425,60,20736,343416,
single,6,2026092206,1,7,8,EAB7D104BB4DC3B31124B652A22F4BC7,B186D2D17C35178BD5C6E9E0A1E002EC,B27D718AC8F2F13E2F3D98497365D2C3,SAT,True,True,True,B186D2D17C35178BD5C6E9E0A1E002EC,0.45780366599865374,6.2508684169988555,6.7104257909995795,60,20736,343416,
single,6,2026092206,1,8,8,EAB7D104BB4DC3B31124B652A22F4BC7,B186D2D17C35178BD5C6E9E0A1E002EC,B27D718AC8F2F13E2F3D98497365D2C3,SAT,True,True,True,B186D2D17C35178BD5C6E9E0A1E002EC,0.45780466699943645,6.658540958000231,7.118104417000723,60,20736,343416,
